CountryID,Name,movieID,population,language
IN,India,185008,1390000000.0,"Hindi, English"
US,United States of America,199423,331000000.0,English
FR,France,24475,65000000.0,French
IT,Italy,24475,60000000.0,Italian
GB,United Kingdom,24475,67000000.0,English
US,United States of America,215991,331000000.0,English
DE,Germany,21073,83000000.0,German
GB,United Kingdom,11765,67000000.0,English
GR,Greece,104710,5000000.0,Multiple Languages
TR,Turkey,92834,84000000.0,Turkish
US,United States of America,126783,331000000.0,English
DE,Germany,92647,83000000.0,German
SE,Sweden,92647,10300000.0,Swedish
DE,Germany,19199,83000000.0,German
HR,Croatia,19199,5000000.0,Multiple Languages
BE,Belgium,126319,5000000.0,Multiple Languages
FR,France,126319,65000000.0,French
LU,Luxembourg,126319,5000000.0,Multiple Languages
US,United States of America,111421,331000000.0,English
US,United States of America,57680,331000000.0,English
FR,France,72465,65000000.0,French
BE,Belgium,72465,5000000.0,Multiple Languages
FR,France,69746,65000000.0,French
BE,Belgium,69746,5000000.0,Multiple Languages
TN,Tunisia,69746,5000000.0,Multiple Languages
US,United States of America,114888,331000000.0,English
FR,France,104086,65000000.0,French
US,United States of America,222911,331000000.0,English
US,United States of America,84690,331000000.0,English
US,United States of America,65374,331000000.0,English
JP,Japan,36075,126000000.0,Japanese
US,United States of America,117773,331000000.0,English
US,United States of America,78239,331000000.0,English
FR,France,76268,65000000.0,French
US,United States of America,7269,331000000.0,English
US,United States of America,207769,331000000.0,English
DE,Germany,207769,83000000.0,German
