CountryID,Name,MovieID,Population,Language,Cities
CA,Canada,17919,38000000.0,"English, French","Toronto, Vancouver, Montreal"
US,United States of America,17919,5000000.0,Unknown,Unknown
GB,United Kingdom,13185,67000000.0,English,"London, Manchester, Birmingham"
US,United States of America,26655,5000000.0,Unknown,Unknown
US,United States of America,42630,5000000.0,Unknown,Unknown
US,United States of America,22172,5000000.0,Unknown,Unknown
JP,Japan,42721,126000000.0,Japanese,"Tokyo, Osaka, Kyoto"
IT,Italy,27523,5000000.0,Unknown,Unknown
GB,United Kingdom,28955,67000000.0,English,"London, Manchester, Birmingham"
US,United States of America,27313,5000000.0,Unknown,Unknown
GB,United Kingdom,4638,67000000.0,English,"London, Manchester, Birmingham"
US,United States of America,68979,5000000.0,Unknown,Unknown
HK,Hong Kong,11841,5000000.0,Unknown,Unknown
US,United States of America,28261,5000000.0,Unknown,Unknown
FR,France,94393,65000000.0,French,"Paris, Marseille, Lyon"
IT,Italy,94393,5000000.0,Unknown,Unknown
GB,United Kingdom,94393,67000000.0,English,"London, Manchester, Birmingham"
US,United States of America,9695,5000000.0,Unknown,Unknown
IT,Italy,24653,5000000.0,Unknown,Unknown
FR,France,1993,65000000.0,French,"Paris, Marseille, Lyon"
IT,Italy,1993,5000000.0,Unknown,Unknown
AR,Argentina,28710,5000000.0,Unknown,Unknown
US,United States of America,28438,5000000.0,Unknown,Unknown
DE,Germany,11945,83000000.0,German,"Berlin, Munich, Hamburg"
SE,Sweden,11945,5000000.0,Unknown,Unknown
US,United States of America,12554,5000000.0,Unknown,Unknown
GB,United Kingdom,26598,67000000.0,English,"London, Manchester, Birmingham"
FR,France,5691,65000000.0,French,"Paris, Marseille, Lyon"
IT,Italy,5691,5000000.0,Unknown,Unknown
DE,Germany,6443,83000000.0,German,"Berlin, Munich, Hamburg"
US,United States of America,1738,5000000.0,Unknown,Unknown
GB,United Kingdom,1253,67000000.0,English,"London, Manchester, Birmingham"
US,United States of America,1253,5000000.0,Unknown,Unknown
FR,France,38021,65000000.0,French,"Paris, Marseille, Lyon"
US,United States of America,15325,5000000.0,Unknown,Unknown
US,United States of America,15163,5000000.0,Unknown,Unknown
GB,United Kingdom,15163,67000000.0,English,"London, Manchester, Birmingham"
IT,Italy,14375,5000000.0,Unknown,Unknown
US,United States of America,10845,5000000.0,Unknown,Unknown
US,United States of America,31659,5000000.0,Unknown,Unknown
US,United States of America,15582,5000000.0,Unknown,Unknown
IT,Italy,42999,5000000.0,Unknown,Unknown
US,United States of America,31015,5000000.0,Unknown,Unknown
US,United States of America,1949,5000000.0,Unknown,Unknown
DK,Denmark,11330,5000000.0,Unknown,Unknown
FI,Finland,99259,5000000.0,Unknown,Unknown
US,United States of America,10942,5000000.0,Unknown,Unknown
CA,Canada,7006,38000000.0,"English, French","Toronto, Vancouver, Montreal"
US,United States of America,7006,5000000.0,Unknown,Unknown
US,United States of America,27040,5000000.0,Unknown,Unknown
US,United States of America,11199,5000000.0,Unknown,Unknown
US,United States of America,41393,5000000.0,Unknown,Unknown
US,United States of America,9784,5000000.0,Unknown,Unknown
RU,Russia,25530,5000000.0,Unknown,Unknown
ES,Spain,36610,5000000.0,Unknown,Unknown
US,United States of America,50812,5000000.0,Unknown,Unknown
US,United States of America,27864,5000000.0,Unknown,Unknown
US,United States of America,8965,5000000.0,Unknown,Unknown
US,United States of America,14710,5000000.0,Unknown,Unknown
US,United States of America,14624,5000000.0,Unknown,Unknown
US,United States of America,1271,5000000.0,Unknown,Unknown
BG,Bulgaria,10790,5000000.0,Unknown,Unknown
ES,Spain,10790,5000000.0,Unknown,Unknown
GB,United Kingdom,10790,67000000.0,English,"London, Manchester, Birmingham"
US,United States of America,18019,5000000.0,Unknown,Unknown
US,United States of America,64142,5000000.0,Unknown,Unknown
US,United States of America,61648,5000000.0,Unknown,Unknown
GB,United Kingdom,14055,67000000.0,English,"London, Manchester, Birmingham"
US,United States of America,14055,5000000.0,Unknown,Unknown
US,United States of America,2267,5000000.0,Unknown,Unknown
FR,France,6691,65000000.0,French,"Paris, Marseille, Lyon"
KR,South Korea,1255,5000000.0,Unknown,Unknown
US,United States of America,47249,5000000.0,Unknown,Unknown
IL,Israel,49709,5000000.0,Unknown,Unknown
FR,France,49709,65000000.0,French,"Paris, Marseille, Lyon"
US,United States of America,31040,5000000.0,Unknown,Unknown
US,United States of America,50185,5000000.0,Unknown,Unknown
US,United States of America,25105,5000000.0,Unknown,Unknown
GB,United Kingdom,2977,67000000.0,English,"London, Manchester, Birmingham"
US,United States of America,2977,5000000.0,Unknown,Unknown
US,United States of America,15664,5000000.0,Unknown,Unknown
GB,United Kingdom,25062,67000000.0,English,"London, Manchester, Birmingham"
IN,India,16727,1390000000.0,"Hindi, English","Mumbai, Delhi, Bangalore"
